UF,MUN,COD_IBGE,num_mortes_prioridade,tipo,data_da_atualizacao,escolas_municipais_fechadas,Observações,escolas_estaduais_fechadas,Observações,universidades_fechadas,Observações,comercio_nao_essencial_fechado,Observações,espacos_publicos_fechados,Observações,transporte_publico_reduzido,Observações,igrejas_fechadas,Observações,eventos_de_grande_porte_cancelados,Observações,transporte_rodoviário_intermunicipal_cancelado,Observações,entrada_restrita_a_residentes,Observações,doentes_orientados_a_ficar_em_casa,Observações,distribuicao_merenda_escolar,Observações,restricao_horario_comercio,Observações,toque_de_recolher,Observações,circulacao_apenas_com_autorizacao,Observações,antecipacao_vacinacao,Observações,desinfeccao_cidade,Observações,distribuicao_cesta_basica,Observações,campanhas_publicas_para_ficar_em_casa,Observações,obrigatoriedade_uso_mascaras_espacos_publicos,Observações,limite_pessoas_por_aglomeracao,Observações,aplicacao_de_multa,Observações,Início de testagem,Observações,observação
RN,Mossoró,2408003,8,data_comeco,4/19/2020,3/18/2020,,3/18/2020,,03/15/2020,,3/18/2020,,NA,,NA,,NA,,3/18/2020,,NA,,NA,,NA,,NA,,3/30/2020,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,
RN,Mossoró,2408003,8,data_fim,4/19/2020,4/30/2020,,4/23/2020,,,,4/30/2020,,NA,,NA,,NA,,30 de abril,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,
RN,Mossoró,2408003,8,fonte,4/19/2020,Decreto 5638 - http://jom.prefeiturademossoro.com.br/wp-content/uploads/2020/03/555a.pdf,,Decreto 29583 - https://www.legisweb.com.br/legislacao/?id=392200,,Portaria nº 421/2020-GP/FUERN,,Decreto 5638 - http://jom.prefeiturademossoro.com.br/wp-content/uploads/2020/03/555a.pdf,,,,NA,,NA,,Decreto 5638 - http://jom.prefeiturademossoro.com.br/wp-content/uploads/2020/03/555a.pdf,,NA,,NA,,NA,,NA,,PORTARIA Nº 002/2020 – SEDAT - http://jom.prefeiturademossoro.com.br/wp-content/uploads/2020/03/555a.pdf,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,
MG,Belo Horizonte,3106200,8,data_comeco,6/19/2020,3/19/2020,,#REF!,,3/20/2020,,3/20/2020,,3/20/2020,,NA,,3/20/2020,,3/20/2020,,NA,,NA,,4/3/2020,,4/9/2020,,5/25/2020,,NA,,NA,,3/23/2020,,3/23/2020,,4/9/2020,,3/20/2020,,4/22/2020,,4/22/2020,,NA,,5/19/2020,"A testagem será por amostragem nas categorias profissionais que estão em atividade: profissionais de saúde, trabalhadores do transporte coletivo e, após, atendentes e caixas de supermercados, padarias, farmácias e drogarias da capital.","* Transporte público não foi reduzido, mas via portaria se passou um decreto com medidas para reduzir risco de contaminação dentro dos veículos. Também encontrei notícia que unilateralmente as empresas reduziram a frota de ônibus, porém não sei isso se manteve apenas reunião com o poder público. Fonte Portaria com orientações para reduzir contágio: Portaria DPR 046/2020 http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1227056. Fonte ônibus circulando menos: https://g1.globo.com/mg/minas-gerais/noticia/2020/03/19/onibus-de-belo-horizonte-tem-quadros-de-horarios-reduzidos.ghtml  e https://www.otempo.com.br/cidades/coronavirus-onibus-de-bh-estao-circulando-com-quadro-de-horarios-reduzido-1.2313141"
MG,Belo Horizonte,3106200,8,data_fim,6/19/2020,NA,,#REF!,,NA,,5/24/2020,Reabertura gradual do comércio,NA,,NA,,6/17/2020,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,6/30/2020,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,"* Igreja e universidades não são explicitadas como fechadas, mas um decreto fechou todos os serviços não-essenciais (o que inclui ambos). Proibição de circulação intermunicipal específica para o município de Lagoa Santa (revogada posteriormente) e municípios que interromperem as medidas de isolamento social. 
* Revogado o decreto que estipulava multa de R$ 80 para quem saísse sem máscara em Belo Horizonte. Decreto havia sido publicado em 06/05 e passaria a valer em 15/05. O uso de máscara segue obrigatório."
MG,Belo Horizonte,3106200,8,fonte,6/19/2020,Portaria SMED Nº102/2020 - http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1226968,,#REF!,,Decreto 17304 -http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1227069,,http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1227069; https://prefeitura.pbh.gov.br/noticias/prefeitura-confirma-reabertura-gradual-e-anuncia-setores-autorizados-funcionar,,Decreto 17304 -http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1227069,,NA - Ver observações,,Decreto 17304 -http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1227069; http://arquidiocesebh.org.br/noticias/evangelizacao-missionaria-um-novo-tempo-orientacoes-para-as-celebracoes-presenciais/,,Decreto 17304 -http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1227069,,NA,,NA,,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/saude/2020/nota-informativa-covid-19-n001_2020.pdf,,https://prefeitura.pbh.gov.br/noticias/pbh-inicia-distribuicao-de-kits-de-higiene-e-amplia-entrega-de-cestas-basicas ; https://prefeitura.pbh.gov.br/noticias/pbh-distribuira-cestas-basicas-140-mil-familias-durante-suspensao-das-aulas,,https://prefeitura.pbh.gov.br/noticias/prefeitura-confirma-reabertura-gradual-e-anuncia-setores-autorizados-funcionar; https://prefeitura.pbh.gov.br/noticias/apos-isolamento-mais-de-86-dos-empregos-do-setor-privado-se-mantiveram-ativos,,NA,,NA,,https://prefeitura.pbh.gov.br/noticias/segunda-etapa-na-campanha-de-vacinacao-contra-gripe-comeca-nesta-quinta ; https://nortelivre.com.br/pbh-antecipa-campanha-e-abre-novos-postos-de-vacinacao-contra-a-gripe-em-venda-nova/; https://prefeitura.pbh.gov.br/noticias/campanha-nacional-de-vacinacao-contra-gripe-e-prorrogada-ate-30-de-junho,,https://prefeitura.pbh.gov.br/noticias/higienizacao-da-cidade-busca-combater-proliferacao-do-coronavirus,,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/smasac/2020/cartilha_kit_cesta_v3.pdf.pdf,,https://www.hojeemdia.com.br/horizontes/kalil-pede-para-que-popula%C3%A7%C3%A3o-de-bh-fique-em-casa-no-primeiro-dia-de-restri%C3%A7%C3%A3o-no-com%C3%A9rcio-1.779178,,Decreto Nº 17.332 - http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1227955,,Decreto Nº 17.332 - http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1227955,,NA,,https://prefeitura.pbh.gov.br/noticias/prefeitura-amplia-testes-para-verificar-imunidade-da-populacao-ao-coronavirus,,
PR,Curitiba,4106902,8,data_comeco,5/18/2020,3/23/2020,,3/20/2020,,3/20/2020,,3/26/2020,,3/27/2020,,3/20/2020,,3/26/2020,,3/26/2020,,NA,,NA,,3/23/2020,,4/2/2020,,NA,,NA,,NA,,3/23/2020,,3/27/2020,,3/26/2020,,NA,,4/16/2020,,3/17/2020,,NA,,,,
PR,Curitiba,4106902,8,data_fim,5/18/2020,7/2/2020,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,
PR,Curitiba,4106902,8,fonte,5/18/2020,"Decreto Nº 580 DE 29/04/2020 e Decreto Nº 421 DE 16/03/2020 (https://www.legisweb.com.br/legislacao/?id=391118);
https://www.curitiba.pr.gov.br/noticias/curitiba-reforca-prevencao-e-vai-suspender-aulas-na-rede-municipal-de-ensino/55267; https://g1.globo.com/pr/parana/educacao/noticia/2020/04/07/prefeito-de-curitiba-prorroga-recesso-das-aulas-ate-o-dia-2-de-maio.ghtml",,https://g1.globo.com/pr/parana/educacao/noticia/2020/04/17/coronavirus-ratinho-junior-diz-que-e-muito-dificil-que-aulas-sejam-retomadas-no-primeiro-semestre.ghtml,,https://g1.globo.com/pr/parana/noticia/2020/03/16/coronavirus-governo-do-parana-determina-suspensao-das-aulas-de-escolas-e-universidades-publicas-e-privadas-a-partir-de-sexta-feira-20.ghtml,,DECRETO Nº 470 26 de março de 2020.,,https://www.tribunapr.com.br/noticias/curitiba-regiao/11-parques-de-curitiba-e-regiao-sao-fechados-por-causa-do-coronavirus-nesta-sexta/,,https://g1.globo.com/pr/parana/noticia/2020/03/20/coronavirus-com-queda-do-uso-do-transporte-coletivo-curitiba-altera-tabela-de-linhas-dos-onibus.ghtml,,DECRETO Nº 470 26 de março de 2020.,,DECRETO Nº 470 26 de março de 2020.,,NA,,NA,,https://g1.globo.com/pr/parana/noticia/2020/03/25/curitiba-tem-7-pessoas-recuperadas-do-novo-coronavirus-diz-secretaria.ghtml,,https://www.curitiba.pr.gov.br/noticias/veja-como-foi-a-entrega-de-cestas-basicas-na-regional-bairro-novo/55540,,NA,,NA,,NA,,https://bandnewsfmcuritiba.com/campanha-de-vacinacao-contra-a-gripe-e-antecipada/,,https://www.curitiba.pr.gov.br/noticias/prefeitura-reforca-limpeza-dos-22-terminais-da-cidade/55469,,https://www.curitiba.pr.gov.br/noticias/prefeitura-cria-credito-alimentar-para-beneficiar-17-mil-estudantes-carentes/55445,,NA,,"RESOLUÇÃO N. 1 16 de abril de 2020 da Secretaria Municipal da Saúde,",,DECRETO N.º 421 16 de março de 2020,,NA,,,,
GO,Goiânia,5208707,8,data_comeco,6/21/2020,3/16/2020,,3/16/2020,,3/16/2020,http://cdn.ueg.edu.br/source/universidade_estadual_de_goias_306/noticias/52386/Portaria_560_2020__medidas_internas_a_fim_de_prevenir_contaminacao_pelo_novo_Coronavirus.pdf,3/19/2020,https://g1.globo.com/go/goias/noticia/2020/06/21/juiz-suspende-decreto-de-goiania-que-autoriza-reabertura-do-varejo-centros-comerciais-e-shoppings.ghtml,3/13/2020,Alguns parques cercados como Zoologico e Parque Mutirama foram fechados.,4/28/2020,,3/19/2020,,3/13/2020,,NA,,NA,,3/13/2020,,4/17/2020,,4/28/2020,,NA,,NA,,3/23/2020,,4/3/2020,,4/11/2020,"Decreto 1041, de 15 de maio de 2020 criou a Comissão de acompanhamento e distribuição das cestas básicas.",6/10/2020,https://www.goiania.go.gov.br/campanha-alerta-sobre-importancia-do-isolamento-social/,4/20/2020,,3/13/2020,,3/16/2020,,5/9/2020,,
GO,Goiânia,5208707,8,data_fim,6/21/2020,7/31/2020,,7/31/2020,,N/A,Calendario academico suspenso por tempo indeterminado.,4/3/2020,"- Decreto nº 9.645, de 03 de abril de 2020 que ampliou entendimento de comercio nao essencial e autorizou reabertura de agumas industrias No entato ainda existem industrias que permanecem fechadas. Como o setor de Bar e restaurantes por exemplo; -Decreto 1113, de 29 de maio de 2020 autoriza a  abertura de Mercados Municipais, área administrativa das imobiliárias, treinos de futebol profissional; https://www.goiania.go.gov.br/wp-uploads/2020/06/Decreto-1187.pdf",NA,,NA,"A frota do trasnporte coletivo nao foi reduzida mas a capacidade sim. Pois os onibus so estao autorizados a somente levar passageiros sentados de acordo com o DECRETO Nº 951, DE 28 DE ABRIL DE 2020.",4/19/2020, Culto e celebracoes estao autorizadas somente uma vez por semana.,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,"A prefeitura realizara Inquérito Sorológico da Secretaria Municipal de Saúde (SMS) para avaliar circulação do novo coronavírus na cidade será por sorteio, terá quatro etapas e chegará ao total de 22,4 mil pessoas testadas","A frota do trasnporte coletivo nao foi reduzida mas a capacidade sim. Pois os onibus so estao autorizados a somente levar passageiros sentados de acordo com o DECRETO Nº 951, DE 28 DE ABRIL DE 2020."
GO,Goiânia,5208707,8,fonte,6/21/2020,"Decreto Municipal 751 de 16 de Marco; Resolução CEE/CP n.09, de 30 de maio de 2020 ; Nota Técnica da Secretaria de Estado da Saúde n. 08/2020",,"Nota Tecnica n:1/2020-GAB03076 https://www.saude.go.gov.br/files/banner_coronavirus/notastecnicas_1a4.pdf; Resolução CEE/CP n.09, de 30 de maio de 2020 ; Nota Técnica da Secretaria de Estado da Saúde n. 08/2020",,RESOLUÇÃO - CONSUNI Nº 18/2020,"Resolução nº 22/2020, Autoriza a realização de algumas atividades acadêmicas de maneira remota, a partir do uso de Tecnologias Digitais de Informação e Comunicação (TDICs).","Decreto Municipal 751 de 16 de Marco; DECRETO Nº 1113, DE 29 DE MAIO DE 2020","Novo decreto foi publicado no dia 29/05/20 apliando a reabertura parcial do comércio Incluindo novos setores; -Decreto 1050, de 18 de maio de 2020  que determina que o escalonamento de horários de funcionamento do comércio, indústria e serviços essenciais em Goiânia (aqueles que tem permissão para funcionar de acordo com o Decreto Estadual 9653, de 19/04/2020);",Decreto Municipal 736 de 13 de Marco de 2020,,"DECRETO Nº 951, DE 28 DE ABRIL DE 2020",,Decreto Estadual n 9.633 de 13 de marco de 2020,,Decreto Municipal 736 de 13 de Marco,,NA,,NA,,Decreto Municipal 736 de 13 de Marco,,https://g1.globo.com/go/goias/noticia/2020/04/17/prefeitura-de-goiania-comeca-distribuir-cestas-basicas-a-alunos-que-estao-sem-aulas-e-merenda-por-causa-da-pandemia.ghtml,,"-DECRETO Nº 951, DE 28 DE ABRIL DE 2020; -Decreto 1050, de 18 de maio de 2020 ","-Decreto 1050, de 18 de maio de 2020 que determina que o escalonamento de horários de funcionamento do comércio, indústria e serviços essenciais em Goiânia (aqueles que tem permissão para funcionar de acordo com o Decreto Estadual 9653, de 19/04/2020).",NA,,NA,,https://www.goiania.go.gov.br/vacinacao-contra-influenza-comeca-na-proxima-segunda-feira/,,https://www.opopular.com.br/noticias/cidades/coronav%C3%ADrus-desinfecção-em-terminais-de-ônibus-não-é-100-segura-1.2033928,Corpo de Bombeiro esta desinfetando terminais e plataformas de onibus.,https://www.goiania.go.gov.br/semas-doa-cestas-e-auxilia-familias-em-relacao-a-beneficios-sociais/,,NA,,https://www.goias.gov.br/index.php/servico/97-pandemia/121340-e-para-a-protecao-de-voces-garante-caiado-sobre-uso-obrigatorio-de-mascara,,Decreto Municipal 736 de 13 de Marco,,"Decreto 751 de16 de marco de 2020; DECRETO Nº 950, DE 28 DE ABRIL DE 2020",,http://noticiasgoias.com.br/noticia/titulo?titulo=goi-nia-inicia-s-bado-testagem-em-massa-da-popula--o&id=2760 ; https://www.goiania.go.gov.br/_prefeitura-de-goiania-vai-testar-mais-2-660-moradores-para-covid-19/,http://www.ugopoci.com.br/prefeitura-de-goiania-firma-parceria-com-ufg-para-testes-de-covid-19/,Corpo de Bombeiro esta desinfetando terminais e plataformas de onibus.
PE,Camaragibe,2603454,7,data_comeco,5/31/2020,3/18/2020,,3/18/2020,,3/18/2020,,3/18/2020,,3/17/2020,Museus e espaços culturais foram mencionados,NA,,NA,,3/18/2020,,NA,,NA,,NA,,3/18/2020,,3/18/2020,,NA,,5/16/2020,,NA,,3/9/2020,,NA,,NA,,5/16/2020,,3/18/2020,,NA,,,,
PE,Camaragibe,2603454,7,data_fim,5/31/2020,5/31/2020,,5/31/2020,,5/31/2020,,5/31/2020,,5/31/2020,,NA,,NA,,5/31/2020,,NA,,NA,,NA,,NA,,5/31/2020,,NA,,5/31/2020,,NA,,NA,,NA,,NA,,5/31/2020,,31/5/2020,,NA,,,,
PE,Camaragibe,2603454,7,fonte,5/31/2020,"DECRETO Nº 49.026 DE 15 DE MAIO DE 2020 (https://legis.alepe.pe.gov.br/texto.aspx?id=50511&tipo=) prorroga o prazo das restrições dos decretos anteriores; DECRETO nº 48.809 e DECRETO Nº 48810, DECRETO Nº 48.881 (https://www.pecontracoronavirus.pe.gov.br/wp-content/uploads/2020/04/de488092020.pdf, https://www.legisweb.com.br/legislacao/?id=390754,https://legis.alepe.pe.gov.br/texto.aspx?tiponorma=6&numero=48881&complemento=0&ano=2020&tipo=&url=);
Decreto 006 - http://transparencia.camaragibe.pe.gov.br/uploads/5126/1/atos-oficiais/2020/decretos/decreto-006-COVID-19.pdf; ",,"DECRETO Nº 49.026 DE 15 DE MAIO DE 2020 (https://legis.alepe.pe.gov.br/texto.aspx?id=50511&tipo=) prorroga o prazo das restrições dos decretos anteriores; DECRETO nº 48.809 e DECRETO Nº 48810, DECRETO Nº 48.881 (https://www.pecontracoronavirus.pe.gov.br/wp-content/uploads/2020/04/de488092020.pdf, https://www.legisweb.com.br/legislacao/?id=390754,https://legis.alepe.pe.gov.br/texto.aspx?tiponorma=6&numero=48881&complemento=0&ano=2020&tipo=&url=)",,"DECRETO Nº 49.026 DE 15 DE MAIO DE 2020 (https://legis.alepe.pe.gov.br/texto.aspx?id=50511&tipo=) prorroga o prazo das restrições dos decretos anteriores; DECRETO nº 48.809 e DECRETO Nº 48810, DECRETO Nº 48.881 (https://www.pecontracoronavirus.pe.gov.br/wp-content/uploads/2020/04/de488092020.pdf, https://www.legisweb.com.br/legislacao/?id=390754,https://legis.alepe.pe.gov.br/texto.aspx?tiponorma=6&numero=48881&complemento=0&ano=2020&tipo=&url=)",,"DECRETO Nº 49.026 DE 15 DE MAIO DE 2020 (https://legis.alepe.pe.gov.br/texto.aspx?id=50511&tipo=) prorroga o prazo das restrições dos decretos anteriores; DECRETO nº 48.809 e DECRETO Nº 48810, DECRETO Nº 48.881 (https://www.pecontracoronavirus.pe.gov.br/wp-content/uploads/2020/04/de488092020.pdf, https://www.legisweb.com.br/legislacao/?id=390754,https://legis.alepe.pe.gov.br/texto.aspx?tiponorma=6&numero=48881&complemento=0&ano=2020&tipo=&url=)",,DECRETO Nº 49.026 DE 15 DE MAIO DE 2020 (https://legis.alepe.pe.gov.br/texto.aspx?id=50511&tipo=) prorroga o prazo das restrições dos decretos anteriores; DECRETO nº 48.809 (https://www.pecontracoronavirus.pe.gov.br/wp-content/uploads/2020/04/de488092020.pdf),,NA,,NA,,"Decreto 006 - http://transparencia.camaragibe.pe.gov.br/uploads/5126/1/atos-oficiais/2020/decretos/decreto-006-COVID-19.pdf; 
DECRETO Nº 49.026 DE 15 DE MAIO DE 2020 (https://legis.alepe.pe.gov.br/texto.aspx?id=50511&tipo=) prorroga o prazo das restrições dos decretos anteriores; DECRETO nº 48.809 (https://www.pecontracoronavirus.pe.gov.br/wp-content/uploads/2020/04/de488092020.pdf)",,NA,,NA,,NA,,https://www.diariodepernambuco.com.br/noticia/vidaurbana/2020/03/merenda-da-rede-municipal-de-camaragibe-sera-mantida.html,,"DECRETO Nº 49.026 DE 15 DE MAIO DE 2020 (https://legis.alepe.pe.gov.br/texto.aspx?id=50511&tipo=) prorroga o prazo das restrições dos decretos anteriores DECRETO nº 48.809, DECRETO Nº 48810 e DECRETO Nº 48.881 (https://www.pecontracoronavirus.pe.gov.br/wp-content/uploads/2020/04/de488092020.pdf, https://www.legisweb.com.br/legislacao/?id=390754,https://legis.alepe.pe.gov.br/texto.aspx?tiponorma=6&numero=48881&complemento=0&ano=2020&tipo=&url=)",,NA,,"DECRETO Nº 49.017, DE 11 DE MAIO DE 2020 (disponível em: https://www.pecontracoronavirus.pe.gov.br/wp-content/uploads/2020/05/no-49-017.pdf)",,NA,,https://tvjornal.ne10.uol.com.br/por-dentro-com-cardinot/2020/04/09/camaragibe-vai-desinfetar-ruas-da-cidade-por-conta-do-novo-coronavirus-186774,,NA,,NA,,"DECRETO Nº 49.017, DE 11 DE MAIO DE 2020 (disponível em: https://www.pecontracoronavirus.pe.gov.br/wp-content/uploads/2020/05/no-49-017.pdf)",,Decreto 006 - http://transparencia.camaragibe.pe.gov.br/uploads/5126/1/atos-oficiais/2020/decretos/decreto-006-COVID-19.pdf; DECRETO Nº 49.026 DE 15 DE MAIO DE 2020 (https://legis.alepe.pe.gov.br/texto.aspx?id=50511&tipo=) prorroga o prazo das restrições dos decretos anteriores; DECRETO nº 48.809 (https://www.pecontracoronavirus.pe.gov.br/wp-content/uploads/2020/04/de488092020.pdf),,NA,,,,
ES,Serra,3205002,7,data_comeco,6/19/2020,3/23/2020,,3/23/2020,,3/23/2020,,3/23/2020,Abertura de shoppings: <https://www.agazeta.com.br/es/economia/veja-o-novo-horario-e-as-regras-para-a-reabertura-dos-shoppings-no-es-0520>,3/23/2020,,3/18/2020,,3/17/2020,,3/23/2020,,NA,,NA,,3/17/2020,,3/18/2020,,4/7/2020,,NA,,NA,,4/18/2020,,3/23/2020,,3/25/2020,,5/11/2020,,5/11/2020,,NA,,5/4/2020,,5/11/2020,,
ES,Serra,3205002,7,data_fim,6/19/2020,6/30/2020,,6/30/2020,,6/30/2020,,NA,Mapa de risco: https://coronavirus.es.gov.br/mapa-de-gestao-de-risco,6/30/2020,,NA,Máscaras distribuídas aos passageiros: <http://ioes.dio.es.gov.br/portal/visualizacoes/pdf/4904/#/p:3/e:4904>,NA,,6/30/2020,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,NA,,NA,,6/24/2020,,
